PLACE ID,nama wisata,KATEGORI,Kota,deskripsi,HARGA,long,lat,gambar,rating,path_gambar
1,23 Paskal Shopping Center,Wisata Belanja,Bandung,"23 Paskal Shopping Center (dikenal 23 Paskal) adalah pusat perbelanjaan yang terletak di kompleks Paskal Hyper Square, Bandung dengan luas NLA sebesar 40.000 m. Bangunan ini terbagi menjadi 3 bagian yaitu: mal 23 Paskal 3 lantai, Binus University 12 lantai, dan hotel Yello!",0.0,107.5943024,-6.915388,https://www.google.com/search?tbm=isch&q=23+Paskal+Shopping+Center+mall+Indonesia,4.7,images/23 Paskal Shopping Center wisata indonesia/Image_1.jpg
2,Alun-Alun Bandung,Wisata Hiburan,Bandung,"Alun-Alun Bandung merupakan ruang terbuka publik yang menjadi titik kumpul warga dan wisatawan untuk bersantai, berolahraga, berfoto, dan menikmati suasana pusat kota.",0.0,107.607151,-6.9216776,https://www.google.com/search?tbm=isch&q=Alun-Alun+Bandung+alun-alun+Indonesia,4.6,images/Alun-Alun Bandung wisata indonesia/Image_1.jpg
3,Amazing Art World,Wisata Budaya,Bandung,"Amazing Art World Bandung, sebuah objek wisata yang terletak di Bandung, yang menegaskan bahwa destinasi wisata itu bukan hanya sekedar tentang pantai, air terjun, atau wisata alam lainnya saja. Hasil karya lukisanpun ternyata mampu menjadi sebuah destinasi wisata yang sangat menyenangkan. Apalagi lukisan 3D, selain keren, tetapi mampu membuat manipulasi bagi mata para pengunjung. Luasnya Amazing Art World Bandung menjadikannya sebagai salah-satu museum lukisan 3D terbesar, bukan hanya di tingkat nasional, tetapi di dunia.",75000.0,107.5955534,-6.8516591,,4.5,images/Amazing Art World wisata indonesia/Image_1.jpg
4,Babakan Siliwangi City Forest Path Bandung,Wisata Alam,Bandung,Forest walk Babakan Siliwangi adalah fasilitas publik berupa hutan kota. Hutan ini merupakan hutan kota yang masih aktif di kota Bandung hingga kini. Letaknya strategis berada di kawasan taman sari dekat dengan kampus ITB dan kebun binatang. Kawasan ini bernuansa sejuk karena didominasi oleh pepohonan yang rindang. Jembatan kayu dan besi yang saling terhubung mengelilingi kawasan ini menjadi jalan untuk menyusuri hutan. Pengunjung bisa berjalan di atas jembatan kayu sambil menikmati segarnya udara di kawasan hutan kota ini.,0.0,107.6111899,-6.8853746,,4.6,images/Babakan Siliwangi City Forest Path Bandung wisata indonesia/Image_1.jpg
5,Bandros City Tour,Wisata Budaya,Bandung,"Bandros atau Bus Wisata Bandung adalah bus wisata yang beroperasi di Bandung, Jawa Barat, Indonesia.Digunakan oleh wisatawan di Kota Bandung. Bus tersebut diresmikan oleh Wali Kota Bandung Ridwan Kamil pada malam tahun baru 2014, dan pada 18 Februari 2018 diumumkan bus wisata akan melayani kota Bandung. Seorang pemimpin tur lokal akan menemani turis di dalam bus. Bandros dikelola oleh dua pihak: Dinas Perhubungan Bandung (yang terkait dengan Anggaran Pendapatan dan Belanja Daerah) dan Mang Dudung yang merupakan bagian dari Tanggung Jawab Sosial Perusahaan. Bus memiliki kapasitas 22 orang. Ada enam bus yang dioperasikan oleh divisi Corporate Social Responsibility, dan 12 bus dioperasikan oleh Anggaran Pendapatan dan Belanja Daerah yang dikelola oleh BLUD UPT Dinas Perhubungan Kota Bandung.",40000.0,107.6073182,-6.9220816,,4.4,images/Bandros City Tour wisata indonesia/Image_1.jpg
6,Bandung Indah Plaza,Wisata Belanja,Bandung,"Bandung Indah Plaza merupakan pusat perbelanjaan di Bandung yang menawarkan belanja, kuliner, dan hiburan dalam satu kawasan.",0.0,107.6112548,-6.9083381,https://www.google.com/search?tbm=isch&q=Bandung+Indah+Plaza+mall+Indonesia,4.5,images/Bandung Indah Plaza wisata indonesia/Image_1.jpg
7,Batununggal Indah Club,Wisata Hiburan,Bandung,"Kolam renang Batununggal merupakan salah satu kolam renang yang digemari warga Bandung saat liburan. Kolam renang berada di kawasan komplek perumahan Batununggal Insah Estate. Buat kamu yang paham dengan perumahan tersebut pasti mudah sekali untuk menuju ke lokasi. Kolam renang ini sebenarnya bernama Kolam Renang Batununggal Indah Club atau kolam renang BIC. Kolam renang ini merupakan salah satu fasilitas exclusive bagi para penghuni perumahan. Meskipun merupakan fasilitas perumahan, tetapi pihak pengelola sudah membuka untuk umum. Jadi buat kamu yang berada di Bandung dan sekitarnya tanpa harus tinggal di perumahan tersebut sudah bisa menikmati liburan di sana sob.",70000.0,107.626416,-6.96323,,4.4,images/Batununggal Indah Club wisata indonesia/Image_1.jpg
8,Bukit Bintang,Wisata Alam,Bandung,"Bukit Bintang (Melayu [bu.ket̚ bi.ntaŋ]; disebut dengan nama Bintang Walk atau Starhill, yang terakhir menjadi terjemahan dari nama Melayu) adalah nama dari distrik perbelanjaan dan hiburan di Kuala Lumpur, Malaysia. Daerah ini meliputi Jalan Bukit Bintang dan daerah disekitarnya. Daerah ini telah lama menjadi pusat ritel paling menonjol di Kuala Lumpur yang merupakan rumah bagi banyak pusat perbelanjaan terkenal, kafe al fresco, bar megah, pasar malam, serta jajanan-jenis restoran. Daerah ini populer di kalangan wisatawan dan penduduk lokal, terutama di kalangan pemuda. Sebuah bagian dari Bintang Walk identik disebut sebagai ""Arab Street"".",25000.0,107.6768585,-6.8417795,,4.6,images/Bukit Bintang wisata indonesia/Image_1.jpg
9,Bukit Gantole Cililin,Wisata Alam,Bandung,Bukit Gantole Cililin atau yang dikenal juga dengan sebutan Venue Gantole merupakan sebuah kawasan wisata yang awalnya di buka untuk tujuan terselenggaranya Porda Jabar 2010 dan Pekan Olahraga Nasional 2016 Cabang olahraga Paralayang. Kawasan wisata ini menjadi buah bibir setelah menjadi tuan rumah penyelenggaraan PON 2016. Olahraga paralayang sendiri merupakan jenis olahraga yang di lakukan di atas lereng bukit atau gunung dengan hanya memanfaatkan angin sebagai sumber utama. Oleh karenanya lokasi Bukit Gantole Cililin yang berada di ketinggian 1063 Mdpl dengan hempasan angin yang kencang sangat pas untuk olahraga ini.,0.0,107.4713147,-6.9588812,,4.4,images/Bukit Gantole Cililin wisata indonesia/Image_1.jpg
10,Bukit Jamur,Wisata Alam,Bandung,"Bukit Jamur Ciwidey adalah satu dari sekian banyak pesona wisata alam yang berada di Kecamatan Ciwidey, Kabupaten Bandung, Provinsi Jawa barat. Bukit Jamur Ciwidey memang memiliki khas wisata Ciwidey, yaitu objek wisata di tengah hamparan kebun teh, dengan udara yang sangat sejuk.Suasana saat kabut turun di area perkebunan membuat suasana menjadi romatis. Bukit Jamur Ciwidey suasananya cocok juga bagi jomblowan – jomblowati, banyak spot dengan latar alam yang indah, yang dimungkinkan mampu melupakan sang mantan.",0.0,107.4312811,-7.1951102,,4.2,images/Bukit Jamur wisata indonesia/Image_1.jpg
